                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2642,                 3.5912,                  4.359,                0.00377,                0.91667,                0.05105,                0.01659,                  2.978,                 3.1184,                 4.1593,                      0,                      0,                      0
                      2,                 3.3383,                 3.6278,                 4.2986,                0.00377,                0.91667,                 0.0162,                0.00736,                  2.978,                 3.1202,                 4.1594,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                 2.9453,                 3.7032,                 4.2294,                0.00377,                0.91667,                0.05105,                0.01659,                 2.9793,                   3.12,                 4.1592,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                 3.1963,                 3.6606,                 4.2936,                0.00377,                0.91667,                0.05105,                0.01659,                 2.9793,                   3.12,                 4.1594,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                 3.6548,                 3.6939,                 4.3001,                0.00377,                0.91667,                0.05251,                0.01676,                 2.9794,                 3.1196,                 4.1594,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                  3.441,                 3.7292,                 4.3319,                0.00386,                0.91667,                0.01764,                0.01171,                 2.9797,                 3.1198,                 4.1598,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                 3.4633,                 3.5692,                 4.2934,                0.00381,                0.91667,                0.02273,                0.01076,                 2.9768,                 3.1181,                 4.1596,             0.00011287,             0.00011287,             0.00011287
                      8,                 3.2595,                  3.663,                 4.2517,                0.00381,                0.91667,                0.02273,                0.01076,                 2.9769,                  3.118,                 4.1592,              0.0001303,              0.0001303,              0.0001303
                      9,                 3.5062,                 3.6263,                  4.352,                0.00381,                0.91667,                0.02273,                0.01076,                 2.9748,                 3.1186,                 4.1587,             0.00014733,             0.00014733,             0.00014733
                     10,                 3.2327,                 3.6076,                 4.2697,                0.00381,                0.91667,                0.02414,                0.00839,                 2.9735,                 3.1189,                 4.1587,             0.00016396,             0.00016396,             0.00016396
                     11,                 3.3003,                 3.4799,                 4.2104,                0.00377,                0.91667,                0.02136,                 0.0148,                 2.9705,                 3.1173,                 4.1579,              0.0001802,              0.0001802,              0.0001802
                     12,                 3.1043,                 3.3176,                 4.2614,                0.00386,                0.91667,                0.01887,                0.00853,                  2.968,                 3.1156,                 4.1576,             0.00019604,             0.00019604,             0.00019604
                     13,                 3.4212,                 3.6516,                 4.2935,                0.00377,                0.91667,                0.02786,                0.01469,                 2.9669,                  3.115,                 4.1571,             0.00021149,             0.00021149,             0.00021149
                     14,                 3.5072,                 3.5268,                 4.2912,                0.00378,                0.91667,                0.02638,                0.03647,                 2.9678,                 3.1142,                 4.1559,             0.00022654,             0.00022654,             0.00022654
                     15,                  3.737,                 3.7975,                 4.2262,                0.00385,                0.91667,                0.03914,                0.01311,                 2.9682,                 3.1162,                 4.1552,             0.00024119,             0.00024119,             0.00024119
                     16,                 3.0464,                 3.5024,                 4.2328,                0.00374,                0.91667,                0.03498,                 0.0159,                 2.9653,                 3.1148,                 4.1545,             0.00025545,             0.00025545,             0.00025545
                     17,                 3.4207,                 3.5207,                 4.2219,                0.00375,                0.91667,                0.02288,                0.03429,                 2.9652,                 3.1167,                 4.1538,             0.00026931,             0.00026931,             0.00026931
                     18,                 3.6758,                  3.741,                 4.3105,                0.00375,                0.91667,                0.02288,                0.03429,                 2.9652,                 3.1167,                 4.1538,             0.00028278,             0.00028278,             0.00028278
                     19,                 3.9489,                  3.584,                 4.2003,                0.00389,                0.91667,                0.02531,                0.01344,                 2.9666,                 3.1173,                 4.1525,             0.00029585,             0.00029585,             0.00029585
                     20,                 3.2637,                 3.6865,                 4.2529,                0.00389,                0.91667,                0.02531,                0.01344,                 2.9666,                 3.1173,                 4.1525,             0.00030852,             0.00030852,             0.00030852
                     21,                 3.3906,                 3.5211,                 4.1903,                0.00378,                0.91667,                0.03946,                0.01512,                 2.9623,                 3.1148,                 4.1511,              0.0003208,              0.0003208,              0.0003208
                     22,                  3.293,                 3.5438,                 4.1874,                0.00378,                0.91667,                0.03946,                0.01512,                 2.9623,                 3.1148,                 4.1511,             0.00033268,             0.00033268,             0.00033268
                     23,                   3.47,                 3.3362,                 4.2023,                0.00376,                0.91667,                0.03626,                 0.0148,                 2.9577,                 3.1175,                 4.1495,             0.00034417,             0.00034417,             0.00034417
                     24,                 3.3607,                  3.702,                 4.1561,                0.00376,                0.91667,                0.03626,                 0.0148,                 2.9577,                 3.1175,                 4.1495,             0.00035526,             0.00035526,             0.00035526
                     25,                 3.2223,                 3.5778,                 4.2149,                0.00385,                0.91667,                0.02774,                0.01604,                 2.9579,                 3.1193,                 4.1488,             0.00036595,             0.00036595,             0.00036595
                     26,                 3.4858,                  3.601,                 4.1988,                0.00385,                0.91667,                0.02774,                0.01604,                 2.9579,                 3.1193,                 4.1488,             0.00037625,             0.00037625,             0.00037625
                     27,                 3.4879,                 3.4998,                 4.1825,                0.00377,                0.91667,                 0.0239,                0.01237,                 2.9583,                 3.1206,                 4.1475,             0.00038615,             0.00038615,             0.00038615
                     28,                 3.2475,                 3.6153,                 4.1964,                0.00377,                0.91667,                 0.0239,                0.01237,                 2.9583,                 3.1206,                 4.1475,             0.00039566,             0.00039566,             0.00039566
                     29,                 3.4624,                 3.4777,                 4.1594,                0.00384,                0.91667,                0.03027,                0.01235,                 2.9588,                 3.1226,                 4.1472,             0.00040477,             0.00040477,             0.00040477
                     30,                  3.589,                 3.4239,                 4.1595,                0.00384,                0.91667,                0.03027,                0.01235,                 2.9588,                 3.1226,                 4.1472,             0.00041348,             0.00041348,             0.00041348
                     31,                 3.1527,                 3.4331,                 4.1058,                0.00378,                0.91667,                0.02826,                0.01242,                 2.9596,                 3.1217,                 4.1456,              0.0004218,              0.0004218,              0.0004218
                     32,                 3.3237,                 3.4306,                 4.1409,                0.00378,                0.91667,                0.02826,                0.01242,                 2.9596,                 3.1217,                 4.1456,             0.00042972,             0.00042972,             0.00042972
                     33,                 3.3525,                 3.7386,                 4.1277,                0.00378,                0.91667,                0.03236,                0.01735,                 2.9614,                 3.1183,                 4.1447,             0.00043725,             0.00043725,             0.00043725
                     34,                 3.2424,                 3.3006,                 4.1316,                0.00378,                0.91667,                0.03236,                0.01735,                 2.9614,                 3.1183,                 4.1447,             0.00044438,             0.00044438,             0.00044438
                     35,                 3.4449,                 3.3201,                  4.129,                 0.0039,                0.91667,                0.03878,                0.02809,                 2.9623,                 3.1141,                 4.1429,             0.00045111,             0.00045111,             0.00045111
                     36,                  3.399,                 3.6357,                 4.1404,                 0.0039,                0.91667,                0.03878,                0.02809,                 2.9623,                 3.1141,                 4.1429,             0.00045745,             0.00045745,             0.00045745
                     37,                 3.1489,                 3.5455,                 4.1429,                0.00377,                0.91667,                0.03082,                0.01361,                  2.969,                 3.1104,                 4.1429,             0.00046339,             0.00046339,             0.00046339
                     38,                 3.4034,                 3.4202,                 4.1086,                0.00377,                0.91667,                0.03082,                0.01361,                  2.969,                 3.1104,                 4.1429,             0.00046894,             0.00046894,             0.00046894
                     39,                 3.6482,                 3.4207,                 4.1726,                0.00391,                0.91667,                0.03687,                0.01268,                 2.9744,                 3.1102,                 4.1447,             0.00047409,             0.00047409,             0.00047409
                     40,                 2.9723,                 3.3921,                 4.0986,                0.00391,                0.91667,                0.03687,                0.01268,                 2.9744,                 3.1102,                 4.1447,             0.00047884,             0.00047884,             0.00047884
                     41,                  3.127,                 3.4043,                 4.0813,                0.00393,                0.91667,                 0.0335,                0.01649,                 2.9798,                 3.1041,                 4.1425,              0.0004832,              0.0004832,              0.0004832
                     42,                 3.3006,                 3.5367,                 4.0804,                0.00393,                0.91667,                 0.0335,                0.01649,                 2.9798,                 3.1041,                 4.1425,             0.00048716,             0.00048716,             0.00048716
